iter	Passed	Remaining
0	0	77
1	1	66
2	1	63
3	2	57
4	2	55
5	3	54
6	3	53
7	4	53
8	5	54
9	6	54
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	9	48
17	10	48
18	11	47
19	11	46
20	12	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	38
32	18	37
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	30	26
53	30	26
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	36	21
63	37	20
64	37	20
65	38	19
66	39	19
67	39	18
68	40	18
69	41	17
70	42	17
71	42	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	59	1
98	60	0
99	61	0
